Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
-9.01,0.007812,0,1,1,2064,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,32.8,1181227,159,-51
-8.81,0.007812,0,1,1,2064,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,33,1181247,159,-58
-8.6,0.007812,-1,1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,33.2,1181268,159,-58
-8.41,0.007812,0,1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,33.4,1181287,159,-51
-8.2,0.007812,0,0,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,33.6,1181308,159,-55
-8,0.007812,0,0,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,33.8,1181328,159,-50
-7.8,0.007812,-1,0,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,34,1181348,159,-59
-7.6,0.007812,-1,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,34.2,1181368,159,-50
-7.41,-0.050781,-1,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,34.4,1181387,159,-58
-7.2,0.007812,-1,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,34.6,1181408,159,-52
-7.01,0.007812,-1,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,34.8,1181427,159,-60
-6.81,0.007812,-1,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,35,1181447,159,-56
-6.61,0.007812,0,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,35.2,1181467,159,-53
-6.41,0.007812,0,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,35.4,1181487,159,-59
-6.21,0.007812,0,-2,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,35.6,1181507,159,-53
-6.01,-0.050781,0,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,35.8,1181527,159,-53
-5.8,0.007812,0,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,36,1181548,159,-51
-5.61,0.007812,0,0,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,36.2,1181567,159,-55
-5.41,-0.050781,0,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,36.4,1181587,159,-53
-5.21,-0.050781,0,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,36.6,1181607,159,-50
-5.01,0.007812,0,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,36.8,1181627,159,-51
-4.81,0.007812,0,0,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,37,1181647,160,-51
-4.6,0.007812,0,-1,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,37.2,1181668,160,-53
-4.4,-0.050781,0,0,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,37.4,1181688,160,-51
-4.2,0.007812,0,0,0,2063,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,37.6,1181708,160,-59
-4,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,37.8,1181728,160,-57
-3.8,0.007812,0,-1,-1,2062,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,38,1181748,160,-52
-3.6,-0.050781,0,-1,-1,2062,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,38.2,1181768,160,-53
-3.41,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,38.4,1181787,160,-51
-3.21,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,38.6,1181807,160,-61
-3.01,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,38.8,1181827,160,-50
-2.8,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696333,-117.8090967,12,6,17,45,39,1181848,160,-55
-2.6,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,39.2,1181868,160,-51
-2.41,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,39.4,1181887,160,-62
-2.21,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,39.6,1181907,160,-59
-2.01,0.007812,0,1,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,39.8,1181927,160,-51
-1.81,0.007812,0,1,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,40,1181947,160,-56
-1.61,-0.050781,0,1,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,40.2,1181967,160,-55
-1.41,-0.050781,0,1,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,40.4,1181987,160,-50
-1.2,0.007812,0,1,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,40.6,1182008,160,-50
-1,0.007812,0,1,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,40.8,1182028,160,-52
-0.8,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,41,1182048,160,-56
-0.61,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,41.2,1182067,160,-49
-0.41,0.007812,0,0,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,41.4,1182087,160,-53
-0.2,0.007812,0,1,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,41.6,1182108,160,-52
0,1.136719,0,0,-1,2062,0,0,0,0,307,0,35.34696167,-117.809095,12,6,17,45,41.8,1182128,160,-50
0.2,3.867188,20,2,-1,2062,1,0.001,1,0,307,0,35.34696167,-117.809095,12,6,17,45,42,1182148,160,-51
0.4,2.621094,41,8,2,2065,24.02,0.022,24,1,315,2.39,35.34696333,-117.809095,12,6,17,45,42.2,1182168,160,-52
0.59,2.917969,60,18,9,2072,46.04,0.042,46,2,233,2.49,35.34696167,-117.809095,12,6,17,45,42.4,1182187,160,-47
0.79,3.332031,82,32,20,2083,66.01,0.06,66,1,326,0.87,35.34696167,-117.809095,12,6,17,45,42.6,1182207,161,-44
1.4,3.453125,147,102,79,2142,130.1,0.117,130,5,277,2.2,35.34696333,-117.8091017,12,6,17,45,43.2,1182268,180,-31
1.6,3.332031,170,134,107,2170,151.16,0.136,151,7,289,2.65,35.34696333,-117.8091067,12,6,17,45,43.4,1182288,195,-37
1.8,3.453125,192,170,140,2203,173.42,0.157,173,12,302,3.97,35.34696667,-117.8091117,12,6,17,45,43.6,1182308,216,-38
2,3.570312,215,211,177,2240,195.58,0.177,195,15,301,4.4,35.34697,-117.8091183,12,6,17,45,43.8,1182328,243,-43
2.19,3.511719,236,254,218,2281,216.92,0.196,216,20,301,5.29,35.346975,-117.8091283,12,6,17,45,44,1182347,276,-48
2.4,3.511719,259,306,263,2326,238.42,0.215,237,26,299,6.26,35.34698167,-117.8091417,12,6,17,45,44.2,1182368,315,-51
2.6,3.511719,282,360,313,2376,260.85,0.236,259,31,296,6.83,35.34698833,-117.8091583,12,6,17,45,44.4,1182388,361,-47
2.8,3.511719,304,419,367,2430,283.17,0.256,281,35,293,7.1,35.34699667,-117.80918,12,6,17,45,44.6,1182408,411,-47
3,3.628906,328,482,426,2489,305.37,0.276,303,38,290,7.15,35.34700333,-117.8092017,12,6,17,45,44.8,1182428,468,-47
3.2,3.453125,351,550,489,2552,328.44,0.297,326,40,290,7,35.34701,-117.8092267,12,6,17,45,45,1182448,528,-43
3.4,3.691406,374,623,557,2620,350.53,0.317,348,42,290,6.88,35.34701833,-117.8092517,12,6,17,45,45.2,1182468,595,-47
3.59,3.628906,396,696,629,2692,373.84,0.338,371,46,290,7.07,35.34702667,-117.80928,12,6,17,45,45.4,1182487,665,-62
3.8,3.808594,420,782,706,2769,396.3,0.358,393,51,289,7.39,35.347035,-117.80931,12,6,17,45,45.6,1182508,741,-52
4,3.628906,444,868,787,2850,419.03,0.379,415,58,287,7.96,35.347045,-117.809345,12,6,17,45,45.8,1182528,822,-49
4.2,3.628906,467,959,872,2935,440.82,0.399,436,65,283,8.48,35.34705333,-117.809385,12,6,17,45,46,1182548,907,-47
4.4,3.628906,490,1055,962,3025,463.32,0.419,458,70,281,8.69,35.34706167,-117.8094283,12,6,17,45,46.2,1182568,997,-49
4.6,3.628906,513,1156,1056,3119,486.51,0.441,481,73,279,8.63,35.34706833,-117.8094767,12,6,17,45,46.4,1182588,1092,-54
4.8,3.75,537,1261,1155,3218,509.7,0.462,504,76,279,8.58,35.347075,-117.809525,12,6,17,45,46.6,1182608,1191,-64
