Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
-9.20,-0.015625,-1.00,-2.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,46.00,337376,163,-62
-9.00,-0.015625,-1.00,-2.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,46.20,337396,163,-58
-8.80,-0.015625,-1.00,-2.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,46.40,337416,163,-61
-8.60,0.042969,-1.00,-2.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,46.60,337436,163,-61
-8.40,-0.015625,-1.00,-2.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,46.80,337456,163,-54
-8.20,-0.015625,-1.00,-2.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,47.00,337476,162,-58
-8.00,-0.015625,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,47.20,337496,162,-54
-7.80,0.046875,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,47.40,337516,162,-62
-7.60,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,47.60,337536,162,-58
-7.40,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,47.80,337556,162,-57
-7.20,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,48.00,337576,162,-60
-7.00,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696333,-117.80909167,11,6,22,47,48.20,337596,162,-56
-6.80,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909167,11,6,22,47,48.40,337616,162,-54
-6.60,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909167,11,6,22,47,48.60,337636,162,-56
-6.40,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909167,11,6,22,47,48.80,337656,162,-59
-6.20,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909167,11,6,22,47,49.00,337676,162,-57
-6.00,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,49.20,337696,163,-62
-5.80,-0.011719,-1.00,-1.00,1.00,2080.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,49.40,337716,163,-56
-5.60,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,49.60,337736,162,-55
-5.40,0.046875,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,49.80,337756,162,-55
-5.20,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,50.00,337776,162,-56
-5.00,-0.011719,-1.00,-1.00,0.00,2079.00,1.00,0.001,-1.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,50.20,337796,162,-57
-4.80,0.046875,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,50.40,337816,162,-56
-4.60,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,50.60,337836,162,-64
-4.40,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,50.80,337856,162,-58
-4.20,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,51.00,337876,162,-61
-4.00,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,51.20,337896,162,-65
-3.80,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696167,-117.80909333,11,6,22,47,51.40,337916,162,-56
-3.60,-0.011719,-1.00,-2.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909333,11,6,22,47,51.60,337936,162,-57
-3.40,-0.011719,-1.00,-2.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909333,11,6,22,47,51.80,337956,162,-58
-3.20,0.046875,-1.00,-2.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909333,11,6,22,47,52.00,337976,162,-63
-3.00,0.046875,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909333,11,6,22,47,52.20,337996,162,-58
-2.80,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909333,11,6,22,47,52.40,338016,162,-58
-2.60,0.046875,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909333,11,6,22,47,52.60,338036,162,-58
-2.40,0.046875,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909333,11,6,22,47,52.80,338056,162,-57
-2.20,0.046875,-1.00,-2.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,53.00,338076,163,-58
-2.00,-0.011719,-1.00,-2.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,53.20,338096,163,-58
-1.80,-0.074219,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,53.40,338116,163,-62
-1.60,-0.074219,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,53.60,338136,163,-58
-1.40,-0.011719,-1.00,-1.00,0.00,2079.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,53.80,338156,163,-61
-1.20,0.046875,-1.00,-1.00,-1.00,2078.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,54.00,338176,163,-55
-1.00,-0.011719,-1.00,-1.00,-1.00,2078.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,54.20,338196,163,-55
-0.80,-0.011719,-1.00,-1.00,-1.00,2078.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,54.40,338216,163,-53
-0.60,0.046875,-1.00,-1.00,-1.00,2078.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,54.60,338236,163,-55
-0.40,-0.011719,0.00,-1.00,-1.00,2078.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,54.80,338256,163,-58
-0.20,-0.011719,-1.00,-1.00,-1.00,2078.00,0.00,0.000,0.00,0.00,47,0.00,35.34696000,-117.80909500,11,6,22,47,55.00,338276,163,-59
0.00,0.519531,0.00,0.00,-1.00,2078.00,0.00,0.000,0.00,0.00,47,0.00,35.34695833,-117.80909500,11,6,22,47,55.20,338296,162,-65
0.20,4.500000,25.00,2.00,-1.00,2078.00,2.24,0.002,2.00,1.00,7,26.57,35.34696000,-117.80909500,11,6,22,47,55.40,338316,163,-61
0.39,4.558594,54.00,9.00,3.00,2082.00,34.01,0.031,34.00,1.00,81,1.68,35.34696000,-117.80909500,11,6,22,47,55.60,338335,163,-65
0.60,4.675781,84.00,23.00,13.00,2092.00,63.03,0.057,63.00,2.00,200,1.82,35.34695833,-117.80909500,11,6,22,47,55.80,338356,164,-49
0.80,3.843750,111.00,43.00,28.00,2107.00,90.05,0.081,90.00,3.00,162,1.91,35.34695833,-117.80909500,11,6,22,47,56.00,338376,168,-45
1.00,4.203125,139.00,68.00,49.00,2128.00,117.00,0.106,117.00,1.00,162,0.49,35.34695667,-117.80909500,11,6,22,47,56.20,338396,175,-39
1.40,4.261719,193.00,135.00,107.00,2186.00,171.14,0.154,171.00,7.00,333,2.34,35.34696000,-117.80909500,11,6,22,47,56.60,338436,203,-35
1.60,3.964844,220.00,176.00,144.00,2223.00,197.50,0.178,197.00,14.00,318,4.06,35.34696500,-117.80910000,11,6,22,47,56.80,338456,228,-38
